date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-08-15,sh.600000,6.4858454,6.53063715,6.450012,6.45897035,20451392,148015692.83,0.0697,-0.4144
2022-08-16,sh.600000,6.45897035,6.5037621,6.4320953,6.44105365,17910142,129120992.61,0.061,-0.2774
2022-08-17,sh.600000,6.45897035,6.5395955,6.4320953,6.5216788,20980840,152061978.54,0.0715,1.2517
2022-08-18,sh.600000,6.51272045,6.51272045,6.44105365,6.45897035,12991819,93820911.18,0.0443,-0.9615
2022-08-19,sh.600000,6.4320953,6.5216788,6.4320953,6.450012,17544569,126989201.86,0.0598,-0.1387
2022-08-22,sh.600000,6.4320953,6.4858454,6.4141786,6.47688705,13776616,99353492.44,0.0469,0.4167
2022-08-23,sh.600000,6.45897035,6.4679287,6.42313695,6.42313695,15047471,108111339.93,0.0513,-0.8299
2022-08-24,sh.600000,6.42313695,6.4679287,6.3962619,6.40522025,16855765,120996052.8,0.0574,-0.2789
2022-08-25,sh.600000,6.4141786,6.4679287,6.40522025,6.450012,15772556,113287116.52,0.0537,0.6993
2022-08-26,sh.600000,6.47688705,6.5037621,6.4320953,6.4679287,17576235,126876440.71,0.0599,0.2778
2022-08-29,sh.600000,6.4141786,6.45897035,6.3783452,6.40522025,27600324,197253687.46,0.094,-0.9695
2022-08-30,sh.600000,6.3962619,6.450012,6.38730355,6.44105365,22541928,161534932.8,0.0768,0.5594
2022-08-31,sh.600000,6.42313695,6.5216788,6.40522025,6.51272045,39566130,286509308.75,0.1348,1.1127
2022-09-01,sh.600000,6.47688705,6.53063715,6.450012,6.47688705,23298388,169134999.27,0.0794,-0.5502
2022-09-02,sh.600000,6.4858454,6.51272045,6.450012,6.45897035,19975499,144236248.53,0.0681,-0.2766
2022-09-05,sh.600000,6.4320953,6.51272045,6.3962619,6.5037621,26646247,192171036.58,0.0908,0.6935
2022-09-06,sh.600000,6.49480375,6.5395955,6.4858454,6.5037621,21866681,159009208.09,0.0745,0.0
2022-09-07,sh.600000,6.47688705,6.5037621,6.4679287,6.4679287,16568470,119766057.06,0.0564,-0.551
2022-09-08,sh.600000,6.4858454,6.51272045,6.4679287,6.4858454,14478347,104930852.85,0.0493,0.277
2022-09-09,sh.600000,6.51272045,6.5754289,6.4858454,6.54855385,32423037,236986664.93,0.1105,0.9669
2022-09-13,sh.600000,6.5216788,6.5933456,6.51272045,6.58438725,23795140,174338448.0,0.0811,0.5472
2022-09-14,sh.600000,6.53063715,6.5754289,6.51272045,6.5216788,18649011,136014993.74,0.0635,-0.9524
